"Date","Price","Open","High","Low","Change %"
"Apr 01, 2019","5.4863","5.5565","5.7040","5.4085","-1.25%"
"Mar 29, 2019","5.5555","5.5726","5.6822","5.5535","-0.10%"
"Mar 28, 2019","5.5610","5.3462","5.6275","5.3452","4.38%"
"Mar 27, 2019","5.3278","5.3374","5.4654","5.2690","-0.00%"
"Mar 26, 2019","5.3279","5.5469","5.5936","5.2992","-4.01%"
"Mar 25, 2019","5.5503","5.7631","5.7726","5.5412","-3.69%"
"Mar 22, 2019","5.7627","5.4654","5.8450","5.4470","5.44%"
"Mar 21, 2019","5.4652","5.4245","5.4813","5.4205","0.82%"
"Mar 20, 2019","5.4208","5.4760","5.4859","5.4082","-1.02%"
"Mar 19, 2019","5.4764","5.4669","5.4884","5.4515","0.15%"
"Mar 18, 2019","5.4683","5.4480","5.4748","5.4427","0.40%"
"Mar 15, 2019","5.4467","5.4656","5.4768","5.4398","-0.37%"
"Mar 14, 2019","5.4671","5.4573","5.4771","5.4538","0.20%"
"Mar 13, 2019","5.4564","5.4563","5.4812","5.4450","-0.01%"
"Mar 12, 2019","5.4572","5.4442","5.4672","5.4215","0.21%"
"Mar 11, 2019","5.4455","5.4270","5.4616","5.4210","0.28%"
"Mar 08, 2019","5.4303","5.4741","5.4917","5.4200","-0.75%"
"Mar 07, 2019","5.4712","5.4267","5.4810","5.4170","0.78%"
"Mar 06, 2019","5.4288","5.3868","5.4474","5.3585","0.78%"
"Mar 05, 2019","5.3870","5.3718","5.4038","5.3593","0.19%"
"Mar 04, 2019","5.3769","5.3777","5.4040","5.3632","0.05%"
"Mar 01, 2019","5.3742","5.3371","5.4054","5.3265","0.70%"
